# Copyright (C) 1991-2016 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.0.1 Build 218 06/01/2016 SJ Standard Edition
# File: H:\Masterarbeit\work\quartus\soc_system.csv
# Generated on: Mon Jul 04 15:31:35 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation,Weak Pull-Up Resistor
altera_reserved_tck,Input,,,,,,,,,,,,,,,,,,
altera_reserved_tdi,Input,,,,,,,,,,,,,,,,,,
altera_reserved_tdo,Output,,,,,,,,,,,,,,,,,,
altera_reserved_tms,Input,,,,,,,,,,,,,,,,,,
DRIVE_LED[1],Output,,,,,,,,,,,,,,,,,,
DRIVE_LED[0],Output,,,,,,,,,,,,,,,,,,
ENCODER_A[1],Input,PIN_V12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,,
ENCODER_A[0],Input,PIN_W12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,,
ENCODER_B[1],Input,PIN_Y5,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
ENCODER_B[0],Input,PIN_T8,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
FPGA_CLK1_50,Input,PIN_V11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,,
FPGA_I2C1_SCLK,Bidir,PIN_AA18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
FPGA_I2C1_SDAT,Bidir,PIN_AD23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
FPGA_I2C2_SCLK,Bidir,PIN_AF23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
FPGA_I2C2_SDAT,Bidir,PIN_AF21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
FPGA_UART1_RX,Input,PIN_AG23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
FPGA_UART1_TX,Output,PIN_AF18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
